question,answer
"Что такое электрический фильтр?","Фильтр (например, RC-фильтр, LC-фильтр) — это пассивная или активная электрическая цепь, предназначенная для выделения (пропускания) или подавления определённого диапазона частот сигнала. Основные типы: ФНЧ (низкочастотный), ФВЧ (высокочастотный), полосовой и режекторный."
"Что такое аккумуляторная батарея?","Аккумуляторная батарея (например, литий-ионная, Li-ion) — это химический источник тока многоразового использования, предназначенный для накопления и отдачи электроэнергии. Характеризуется типом химии, напряжением, ёмкостью (в ампер-часах, А·ч) и схемой защиты (BMS)."
"Что такое концевой выключатель?","Прерыватель (end-stop, механический концевой выключатель) — это простейший датчик механического положения (обычно кнопка или микропереключатель), который размыкает или замыкает цепь при достижении движущейся частью механизма определённого крайнего положения. Широко используется в станках с ЧПУ, 3D-принтерах."
"Что такое соленоид?","Соленоид — это электромеханическое устройство, преобразующее электрическую энергию в механическое линейное движение. Состоит из катушки индуктивности и подвижного ферромагнитного сердечника (якоря), который втягивается при подаче тока. Применяется в клапанах, замках, реле."
"Что такое датчик влажности?","Датчик влажности (гигрометр, например, DHT22) — это электронный компонент, измеряющий относительную влажность окружающего воздуха и преобразующий её в электрический сигнал (аналоговый или цифровой). Часто комбинируется с датчиком температуры."
"Что такое датчик давления?","Датчик давления (пьезорезистивный, емкостной) — это устройство, преобразующее измеряемое давление (воздуха, жидкости) в электрический сигнал. Распространённые типы для электроники: барометры для атмосферного давления (например, BMP280) и датчики абсолютного/дифференциального давления."
"Что такое энкодер?","Энкодер (инкрементальный, абсолютный) — это датчик угла поворота (или линейного перемещения), преобразующий механическое движение в электрические сигналы для определения положения, скорости и направления вращения вала. Инкрементальный выдаёт импульсы, абсолютный — уникальный код для каждого положения."
"Что такое датчик приближения?","Датчик приближения (индуктивный, ёмкостной, оптический) — это бесконтактный датчик, обнаруживающий присутствие или отсутствие металлического (индуктивный), любого материала (ёмкостной) или объекта (оптический) объекта в своей зоне чувствительности без физического контакта."
"Что такое драйвер светодиода?","Драйвер светодиода (LED driver) — это электронная схема (часто импульсная), которая регулирует ток, протекающий через светодиод или цепочку светодиодов, обеспечивая стабильную работу и защиту от перегрузки независимо от колебаний питающего напряжения."
"Что такое датчик углекислого газа?","Датчик углекислого газа (CO₂-сенсор, например, на основе NDIR) — это устройство для измерения концентрации диоксида углерода в воздухе. Наиболее точные используют метод недисперсионного инфракрасного анализа (NDIR). Выдают цифровой или аналоговый сигнал."
"Что такое микрофон?","Микрофон (электретный, MEMS) — это электроакустический преобразователь, преобразующий звуковые колебания в электрический сигнал. Электретные микрофоны требуют напряжение поляризации, MEMS-микрофоны — интегральные компактные устройства с цифровым или аналоговым выходом."
"Что такое импульсный источник питания (SMPS)?","Импульсный источник питания (SMPS) — это электронная схема, преобразующая электрическую энергию с помощью ключевых элементов (транзисторов), работающих в режиме переключения, что обеспечивает высокий КПД и компактные размеры по сравнению с линейными стабилизаторами. Примеры: понижающие (buck), повышающие (boost) преобразователи."
"Что такое датчик вибрации?","Датчик вибрации (пьезоэлектрический акселерометр, например, MPU-6050) — это устройство для измерения вибрации, ускорения или наклона. Пьезоэлектрические генерируют сигнал при деформации, MEMS-акселерометры (как часть IMU) измеряют ускорение по осям и преобразуют его в цифровой сигнал."
"Что такое гальванический элемент?","Гальванический элемент (батарейка) — это одноразовый химический источник тока, в котором электрическая энергия вырабатывается в результате необратимых электрохимических реакций. Номинальное напряжение и ёмкость зависят от химического состава (щелочной, солевой, литиевый)."
"Что такое датчик освещённости?","Датчик освещённости (фотодатчик, например, на основе фоторезистора или фотодиода) — это устройство, выходной сигнал которого (сопротивление, напряжение, ток) пропорционален интенсивности падающего на его чувствительный элемент света. Используется в системах автоматического управления освещением."
"Что такое симистор (TRIAC)?","Силовой симистор (TRIAC) — это полупроводниковый ключевой прибор, способный проводить ток в обоих направлениях. Применяется для управления переменным током в цепях регулировки яркости ламп (диммерах), скорости двигателей переменного тока."
"Что такое магнитометр?","Датчик магнитного поля (магнитометр, например, HMC5883L) — это сенсор, измеряющий величину и/или направление магнитного поля Земли или другого источника. Часто строится на основе магниторезистивного эффекта. Ключевой компонент электронных компасов."
"Что такое датчик качества воздуха?","Датчик качества воздуха (например, MQ-2, MQ-135) — это сенсор, обычно на основе изменения сопротивления чувствительного полупроводникового слоя при адсорбции целевых газов (углеводороды, CO, аммиак). Часто требует калибровки и имеет неспецифический отклик."
"Что такое таймер 555?","Таймер (интегральная микросхема, например, NE555) — это универсальная микросхема, предназначенная для генерации одиночных или повторяющихся импульсов с точными временными характеристиками. Может работать в режимах моностабильного, бистабильного или астабильного мультивибратора."
"Что такое УМЗЧ?","Усилитель мощности звуковой частоты (УМЗЧ) — это электронное устройство, предназначенное для усиления слабых электрических сигналов звукового диапазона до уровня, достаточного для работы акустических систем (колонок)."
"Что такое датчик Холла для измерения тока с магнитным сердечником?","Датчик Холла для измерения тока (замкнутый контур, с магнитным сердечником) — это высокоточный датчик тока, в котором проводник с током проходит через магнитный сердечник, а датчик Холла измеряет скомпенсированное поле. Обеспечивает гальваническую развязку и минимальную погрешность."
"Что такое фототранзистор?","Светочувствительный сенсор (фототранзистор) — это полупроводниковый прибор, сочетающий в себе свойства фотодиода и транзистора. Изменение освещённости базы вызывает изменение тока коллектор-эмиттер, что обеспечивает внутреннее усиление сигнала."
"Что такое сглаживающий дроссель?","Дроссель фильтра (сглаживающий дроссель) — это катушка индуктивности, специально разработанная для подавления переменных составляющих (пульсаций) в цепях питания после выпрямителя. Имеет сердечник, рассчитанный на работу с постоянной составляющей тока без насыщения."
"Что такое сетевой фильтр?","Сетевой фильтр (EMI/RFI фильтр) — это пассивное устройство, состоящее из комбинации дросселей и конденсаторов, предназначенное для подавления высокочастотных помех как из сети (кондуктивных электромагнитных помех), так и от устройства в сеть."
"Что такое ультразвуковой датчик расстояния?","Датчик расстояния (ультразвуковой, например, HC-SR04) — это устройство, измеряющее расстояние до объекта по времени прохождения звуковой волны от излучателя до объекта и обратно до приёмника. Работает в ультразвуковом диапазоне."
"Что такое датчик пламени?","Датчик пламени (инфракрасный сенсор пламени) — это оптический датчик, настроенный на определённый спектр излучения открытого пламени (обычно в ИК-диапазоне). Используется в системах пожарной сигнализации."
"Что такое датчик наклона?","Датчик наклона (ртутный, шариковый) — это простейший механический датчик, замыкающий или размыкающий контакты при изменении угла наклона относительно горизонта за счёт перемещения токопроводящей жидкости (ртути) или металлического шарика."
"Что такое регулятор громкости?","Регулятор громкости (потенциометр, цифровой) — это переменный резистор, включённый как делитель напряжения, механическое вращение или перемещение ручки которого изменяет уровень аналогового сигнала (например, аудио). Цифровые регуляторы управляются по интерфейсу."
"Что такое термопара?","Термопара — это датчик температуры, состоящий из двух разнородных металлических проводников, соединённых на концах. Генерирует напряжение (термо-ЭДС), пропорциональное разности температур между «горячим» и «холодным» спаями. Используется для измерения высоких температур."
"Что такое инкрементальный энкодер с индексным сигналом?","Инкрементальный энкодер с индексным сигналом (Z-канал) — это вариант инкрементального энкодера, который помимо двух квадратурных каналов (A, B) имеет дополнительный импульсный выход (Z), выдающий один импульс за полный оборот вала для определения нулевой (начальной) позиции."
"Что такое компаратор?","Сравнивающее устройство (компаратор, например, LM393) — это специализированная интегральная схема, предназначенная для сравнения двух аналоговых напряжений. Выход компаратора резко переключается в состояние логической «1» или «0», когда напряжение на одном входе превышает напряжение на другом."
"Что такое детектор перехода через ноль?","Детектор перехода через ноль (Zero-crossing detector) — это схема (часто на основе компаратора или специализированной ИС), которая формирует синхронизирующий импульс в моменты, когда сетевое переменное напряжение пересекает нулевой уровень. Используется для синхронного включения симисторов и тиристоров в цепях переменного тока."
"Что такое преобразователь уровней?","Микросхема интерфейса (преобразователь уровней, например, для I²C, UART, SPI) — это интегральная схема, предназначенная для согласования логических уровней и обеспечения корректной связи между устройствами с разным напряжением питания (например, 3.3 В и 5 В). Примеры: TXB0108, PCA9306."
"Что такое тензометрический датчик?","Датчик веса (тензометрический датчик, load cell) — это преобразователь, измеряющий деформацию (растяжение/сжатие) и преобразующий её в изменение электрического сопротивления. Используется в весах и системах измерения силы, требует усилителя (HX711) для обработки сигнала."
"Что такое литий-полимерный аккумулятор?","Литий-полимерный аккумулятор (Li-Po) — это перезаряжаемый химический источник тока, в котором в качестве электролита используется полимерный материал. Отличается от Li-ion большей гибкостью форм-факторов, высокой удельной энергоёмкостью, но требует строгого соблюдения режимов зарядки/разрядки."
"Что такое IGBT?","Дискретный силовой ключ (IGBT — биполярный транзистор с изолированным затвором) — это силовой полупроводниковый прибор, сочетающий в себе входные характеристики полевого транзистора (управление напряжением) и выходные характеристики биполярного транзистора (низкое падение напряжения в открытом состоянии). Применяется в мощных инверторах, сварочных аппаратах."
"Что такое радиатор?","Радиатор (теплоотвод) — это пассивное устройство из теплопроводящего материала (чаще алюминия), предназначенное для отвода и рассеивания тепла от нагревающихся электронных компонентов (микросхем, транзисторов) в окружающую среду за счёт теплопроводности и конвекции."
"Что такое кулер?","Вентилятор охлаждения (кулер) — это электромеханическое устройство, состоящее из электродвигателя и лопастей, создающее принудительный поток воздуха для охлаждения электронных компонентов и радиаторов."
"Что такое коннектор?","Соединитель (коннектор, разъём, например, USB, RJ45, клеммная колодка) — это электромеханическое устройство, предназначенное для создания разъёмного электрического соединения между частями схемы, кабелями или модулями. Характеризуется типом, количеством контактов, номинальным током и напряжением."
"Что такое пьезоэлектрический преобразователь для ультразвука?","Пьезоэлектрический преобразователь (для генерации или приёма ультразвука) — это устройство, преобразующее электрическую энергию в механические колебания ультразвуковой частоты (и наоборот) за счёт пьезоэффекта. Используется в сонарах, датчиках расстояния, медицинском оборудовании."
"Что такое датчик потока жидкости/газа?","Датчик потока жидкости/газа (расходомер, например, турбинный, с термоанемометрическим принципом) — это устройство, измеряющее объём или массу вещества, проходящего через заданное сечение в единицу времени. В электронике распространены датчики с импульсным выходом (геркон на турбинке) или аналоговым сигналом."
"Что такое керамический резонатор?","Резонатор (керамический резонатор) — это электронный компонент, использующий пьезоэлектрический эффект в керамике для генерации колебаний заданной частоты. Является менее точной, но более дешёвой и устойчивой к ударам альтернативой кварцевому резонатору."
"Что такое трансивер?","Трансивер (приёмопередатчик, например, для CAN, RS-485) — это интегральная схема, объединяющая в одном корпусе передатчик и приёмник для работы по конкретному стандарту последовательной связи. Обеспечивает усиление сигнала, защиту от помех и часто гальваническую развязку."
"Что такое OLED-дисплей?","Дисплей на органических светодиодах (OLED) — это технология изготовления дисплеев, в которой свет излучают тонкоплёночные структуры из органических соединений. Характеризуется высокой контрастностью, широкими углами обзора и возможностью создания гибких экранов. Не требует отдельной подсветки."
"Что такое ёмкостный сенсорный датчик?","Датчик касания (ёмкостный сенсорный датчик) — это электронная схема, детектирующая изменение электрической ёмкости при приближении или прикосновении пальца человека. Реализуется на специализированных микросхемах или с использованием функций ввода микроконтроллера (например, сенсорные кнопки)."
"Что такое DDS-синтезатор?","Генератор сигналов произвольной формы (DDS-синтезатор) — это устройство (часто интегральная схема, например, AD9833), которое генерирует аналоговые сигналы (синус, меандр, треугольник) с программно задаваемыми частотой, фазой и амплитудой на основе прямого цифрового синтеза (DDS)."
"Что такое твердотельное реле?","Твердотельное реле (SSR) — это полупроводниковый ключевой прибор, выполняющий функции электромеханического реле, но не имеющий движущихся частей. Состоит из входной оптической развязки и выходного силового ключа (на симисторе или MOSFET). Отличается высоким быстродействием и долговечностью."
"Что такое датчик угла?","Датчик угла (потенциометр поворотный, энкодер абсолютный многооборотный) — это устройство для измерения угла поворота вала. Поворотный потенциометр выдаёт аналоговое напряжение, пропорциональное углу, а абсолютный энкодер — уникальный цифровой код даже после нескольких полных оборотов."
"Что такое ИБП?","Источник бесперебойного питания (ИБП) — это устройство, обеспечивающее временное электропитание нагрузки при аварии или пропадании основного сетевого напряжения за счёт энергии встроенных аккумуляторов. Основные типы: резервный (off-line), линейно-интерактивный (line-interactive) и с двойным преобразованием (on-line)."
"Что такое цифровой потенциометр?","Цифровой потенциометр (digipot, например, MCP41xxx) — это интегральная схема, выполняющая функцию переменного резистора, сопротивление которого изменяется цифровыми командами (по SPI, I²C) вместо механического вращения. Используется для регулировки усиления, смещения в цепях подстройки."
"Что такое ГИС?","Гибридная интегральная схема (ГИС) — это электронный компонент, в котором на диэлектрической подложке (чаще керамической) размещаются бескорпусные активные элементы (транзисторные кристаллы) и пассивные компоненты (резисторы, конденсаторы), соединённые тонкоплёночными или толстоплёночными проводниками и помещённые в общий корпус."
"Что такое шунтирующий стабилизатор?","Шунтирующий стабилизатор (Shunt Regulator, например, диод Зенера/стабилитрон) — это элемент, поддерживающий стабильное напряжение на нагрузке путём отклонения (шунтирования) избыточного тока от нагрузки через себя. Простейший пример — стабилитрон с балластным резистором."
"Что такое MLCC?","Многослойный керамический конденсатор (MLCC) — это миниатюрный неполярный конденсатор, состоящий из множества чередующихся слоёв керамического диэлектрика и металлических электродов. Обладает низкой паразитной индуктивностью (ESL) и используется для развязки по питанию в высокочастотных цепях."
"Что такое датчик тока на основе резистивного шунта с усилителем?","Датчик тока на основе резистивного шунта с усилителем — это измерительная схема, в которой падение напряжения на прецизионном низкоомном резисторе (шунте), включённом последовательно с нагрузкой, усиливается специализированной микросхемой (например, INA219) для точного измерения тока и напряжения."
"Что такое эмиттерный повторитель?","Буферный каскад на биполярном транзисторе (эмиттерный повторитель) — это схема включения транзистора с общим коллектором, обеспечивающая высокое входное и низкое выходное сопротивление. Используется для согласования импедансов без усиления по напряжению (коэффициент усиления близок к единице)."
"Что такое микросхема управления зарядом аккумулятора?","Микросхема управления зарядом аккумулятора (Charge Controller, например, TP4056 для Li-ion) — это специализированная ИС, которая автоматически выполняет правильный цикл заряда аккумулятора (предзаряд, основной заряд постоянным током/постоянным напряжением, дозаряд) и обеспечивает защиту от переразряда, перезаряда и перегрева."
"Что такое датчик детонации?","Датчик детонации (пьезоэлектрический, в автомобильных системах) — это датчик, устанавливаемый на блоке двигателя внутреннего сгорания для обнаружения аномальной вибрации (детонации) путём преобразования механических колебаний в электрический сигнал. Позволяет блоку управления скорректировать угол опережения зажигания."
"Что такое антенна?","Антенна (например, штыревая, петлевая, патч-антенна) — это устройство для излучения или приёма радиоволн. Преобразует электрический сигнал передатчика в электромагнитное излучение (и наоборот). Характеризуется диаграммой направленности, коэффициентом усиления и рабочим диапазоном частот."
"Что такое мост Уитстона?","Мост Уитстона (Wheatstone bridge) — это измерительная схема из четырёх резисторов, используемая для точного определения неизвестного сопротивления путём балансировки моста (уравнивания потенциалов в средней диагонали). Также используется с тензодатчиками и другими резистивными сенсорами."
"Что такое электронный термостат?","Термостат (электронный, на основе компаратора и датчика температуры) — это устройство для поддержания заданной температуры путём включения или выключения нагревательного или охлаждающего элемента при достижении пороговых значений, измеренных термодатчиком."
"Что такое датчик расхода воздуха?","Датчик расхода воздуха (MAF-сенсор, в автомобилестроении) — это устройство, измеряющее массовый расход воздуха, поступающего в двигатель. Распространённый тип — проволочный, где сила тока, необходимая для поддержания постоянной температуры платиновой нити, обдуваемой воздухом, пропорциональна его расходу."
"Что такое синфазный дроссель?","Синфазный дроссель (Common-mode choke) — это трансформатор с двумя обмотками, намотанными на одном сердечнике встречно. Эффективно подавляет синфазные электромагнитные помехи (одинаковые в обоих проводах линии, например, USB, Ethernet), не ослабляя при этом полезный дифференциальный сигнал."
"Что такое E-Ink дисплей?","Дисплей на электронных чернилах (E-Ink, E-Paper) — это устройство отображения информации, имитирующее внешний вид обычной бумаги. Обладает крайне низким энергопотреблением (тратит энергию только на изменение изображения) и сохраняет изображение при отключении питания."
"Что такое электронный балласт?","Балласт (электронный, для газоразрядных ламп) — это устройство, обеспечивающее пуск и стабильную работу газоразрядных ламп (люминесцентных, ДНаТ) путём формирования высокого напряжения зажигания и ограничения рабочего тока."
"Что такое плата расширения?","Плата расширения (Shield, HAT, например, для Arduino, Raspberry Pi) — это печатная плата с готовой периферией (датчиками, интерфейсами, исполнительными устройствами), устанавливаемая поверх основной платы микроконтроллера или одноплатного компьютера для быстрого прототипирования без сложной пайки."
"Что такое датчик сердцебиения?","Датчик сердцебиения (оптический, на основе фотоплетизмографии, PPG) — это сенсор, определяющий пульс по изменению оптической плотности ткани (обычно пальца или мочки уха) при каждом сердечном сокращении. Состоит из светодиода и фотодетектора. Пример: модуль с микросхемой MAX30102."
"Что такое логический анализатор?","Логический анализатор — это измерительный прибор, предназначенный для захвата, отображения и анализа цифровых сигналов (логических уровней) в нескольких каналах одновременно. Используется для отладки цифровых схем и последовательных интерфейсов (SPI, I2C, UART)."
"Что такое генератор пилообразного напряжения?","Генератор пилообразного напряжения — это схема (например, на основе интегратора с компаратором и ключом сброса), формирующая периодический сигнал, напряжение которого линейно нарастает, а затем резко падает. Используется в развёртке осциллографов, ШИМ, музыкальных синтезаторов."
"Что такое многооборотный подстроечный резистор?","Многооборотный подстроечный резистор (триммер) — это переменный резистор, сопротивление которого изменяется путём множества оборотов (например, 15 или 25) винта, что обеспечивает высокую точность установки номинала при калибровке схему."
"Что такое микросхема сброса?","Микросхема сброса (супервайзер, Voltage Supervisor, например, MAX809) — это специализированная ИС, которая отслеживает напряжение питания микропроцессора или микроконтроллера и генерирует сигнал аппаратного сброса при снижении напряжения ниже порогового уровня, обеспечивая корректный старт системы."
"Что такое датчик углеводородов?","Датчик углеводородов (метана, пропан-бутана, например, MQ-4, MQ-9) — это газовый сенсор, в основе которого лежит изменение проводимости слоя оксида олова при адсорбции молекул горючих газов на его поверхности. Требует нагревательного элемента и калибровки под конкретную среду."
"Что такое многофункциональный кнопочный энкодер?","Многофункциональный кнопочный энкодер (Rotary Encoder with Push Button) — это комбинированное устройство, объединяющее в одном корпусе инкрементальный энкодер для ввода дискретных значений (поворот) и тактовую кнопку (нажатие на ось). Используется в человеко-машинных интерфейсах."
"Что такое термопринтер?","Термопринтер (миникомпьютерный, например, на основе шагового двигателя и нагревательной головки) — это устройство печати, в котором изображение формируется на специальной термочувствительной бумаге путём локального нагрева элементов печатающей головки под управлением контроллера."
"Что такое ферритовый фильтр?","Фильтр синфазных помех (ферритовый фильтр, ферритовое кольцо/защелка) — это пассивный компонент, представляющий собой ферромагнитный материал в форме кольца или цилиндра, надеваемый на кабель. Повышает индуктивность провода и поглощает высокочастотные синфазные помехи, преобразуя их в тепло."
"Что такое датчик уровня жидкости?","Датчик уровня жидкости (поплавковый, ёмкостной, оптический) — это устройство для определения наличия или уровня жидкости в резервуаре. Поплавковый использует магнит и геркон, ёмкостной — изменение ёмкости электрода, оптический — преломление луча на границе сред."
"Что такое датчик разрыва?","Датчик разрыва (датчик обрыва, End-of-Line resistor в охранных системах) — это резистор, устанавливаемый в конце шлейфа охранной сигнализации. Его номинал контролируется приёмно-контрольным прибором для обнаружения попытки обхода датчиков (короткого замыкания) или обрыва линии."
