question,answer
"Что такое супрессор (TVS-диод)?","Супрессор (TVS-диод) — это полупроводниковый прибор для защиты электронных цепей от кратковременных высоковольтных импульсных помех. Работает по принципу лавинного пробоя p-n перехода, шунтируя опасный импульс на землю. Бывает однонаправленным (защищает от импульсов одной полярности) и двунаправленным."
"Что такое датчик температуры?","Датчик температуры — это электронный компонент, преобразующий температуру в электрический сигнал (напряжение, сопротивление или цифровой код). Типы: аналоговые (термопары, терморезисторы) и цифровые с интерфейсом (1-Wire, I²C). Примеры: LM35 (аналоговый), DS18B20 (цифровой)."
"Что такое фоторезистор?","Фоторезистор — это пассивный компонент, сопротивление которого уменьшается при увеличении интенсивности падающего на него света. Изготавливается из полупроводниковых материалов (например, сульфида кадмия). Применяется в датчиках освещённости и автоматических выключателях света."
"Что такое предохранитель?","Предохранитель — это защитный элемент, разрывающий электрическую цепь путём разрушения (плавления) токопроводящей части при превышении заданного значения тока в течение определённого времени. Основной параметр — номинальный ток срабатывания. Бывают плавкие, самовосстанавливающиеся, быстродействующие."
"Что такое ключ на полевом транзисторе (MOSFET как ключ)?","Ключ на полевом транзисторе (MOSFET как ключ) — это схема применения полевого транзистора, работающего в режиме переключения (отсечка/насыщение) для управления мощной нагрузкой с помощью слабого управляющего сигнала. Важные параметры — сопротивление канала в открытом состоянии (Rds(on)) и заряд затвора."
"Что такое резисторная сборка (DIP-сборка)?","Резисторная сборка (DIP-сборка) — это интегральный компонент, содержащий несколько резисторов (обычно с одинаковым или разным номиналом) в одном корпусе, часто с одним общим выводом. Используется для экономии места на печатной плате, упрощения монтажа."
"Что такое светодиод (LED)?","Светодиод (LED) — это полупроводниковый прибор, излучающий свет при прохождении через него электрического тока в прямом направлении. Характеризуется цветом свечения, световым потоком (люмены), рабочим током и напряжением. Энергоэффективен, долговечен."
"Что такое ШИМ-контроллер (PWM-контроллер)?","ШИМ-контроллер (PWM-контроллер) — это интегральная схема, предназначенная для генерации сигнала с широтно-импульсной модуляцией (ШИМ), используемой для точного управления мощностью (например, скоростью двигателя, яркостью светодиода) или в импульсных источниках питания."
"Что такое драйвер двигателя?","Драйвер двигателя — это специализированная микросхема или модуль, предназначенный для управления направлением вращения, скоростью и мощностью электродвигателей (постоянного тока, шаговых) путем усиления управляющих сигналов от микроконтроллера. Примеры: L298N, DRV8833, A4988."
"Что такое датчик тока на основе эффекта Холла?","Датчик тока на основе эффекта Холла — это интегральное устройство, которое измеряет протекающий ток, детектируя магнитное поле, создаваемое этим током вокруг проводника. Обеспечивает гальваническую развязку и измерение больших токов. Пример: микросхема ACS712."
"Что такое буферный повторитель на операционном усилителе?","Буферный повторитель на операционном усилителе — это схема с коэффициентом усиления по напряжению, равным единице. Имеет высокое входное и низкое выходное сопротивление. Используется для согласования импедансов, изоляции источника сигнала от нагрузки без усиления по напряжению."
"Что такое EEPROM?","EEPROM (электрически стираемое программируемое ПЗУ) — это тип энергонезависимой памяти, позволяющей хранить данные после отключения питания. Отдельные микросхемы (например, 24Cxx) или встроенные в микроконтроллеры ячейки памяти позволяют записывать и считывать данные по интерфейсам I²C или SPI."
"Что такое регистр сдвига?","Регистр сдвига (shift register) — это последовательная цифровая интегральная схема, используемая для преобразования последовательных данных в параллельные (или наоборот). Широко применяется для увеличения количества выходов управления. Пример: микросхема 74HC595."
"Что такое опорный источник напряжения?","Опорный источник напряжения (ИОН, voltage reference) — это электронный компонент, формирующий стабильное и точное напряжение, не зависящее от изменений питающего напряжения, температуры или нагрузки. Используется в аналого-цифровых преобразователях, измерительных и регулирующих устройствах. Пример: TL431."
"Что такое электрический фильтр?","Электрический фильтр — это пассивная или активная электрическая цепь, предназначенная для выделения (пропускания) или подавления определённого диапазона частот сигнала. Основные типы: ФНЧ (низкочастотный), ФВЧ (высокочастотный), полосовой и режекторный. Примеры: RC-фильтр, LC-фильтр."
"Что такое аккумуляторная батарея?","Аккумуляторная батарея — это химический источник тока многоразового использования, предназначенный для накопления и отдачи электроэнергии. Характеризуется типом химии (литий-ионная, LiFePO4, NiMH), напряжением, ёмкостью (в ампер-часах, А·ч) и схемой защиты (BMS)."
"Что такое концевой выключатель?","Концевой выключатель (end-stop) — это простейший датчик механического положения (обычно кнопка или микропереключатель), который размыкает или замыкает цепь при достижении движущейся частью механизма определённого крайнего положения. Широко используется в станках с ЧПУ, 3D-принтерах, лифтах."
"Что такое соленоид?","Соленоид — это электромеханическое устройство, преобразующее электрическую энергию в механическое линейное движение. Состоит из катушки индуктивности и подвижного ферромагнитного сердечника (якоря), который втягивается при подаче тока. Применяется в клапанах, замках, реле, инжекторах."
"Что такое датчик влажности?","Датчик влажности (гигрометр) — это электронный компонент, измеряющий относительную влажность окружающего воздуха и преобразующий её в электрический сигнал (аналоговый или цифровой). Часто комбинируется с датчиком температуры. Примеры: DHT11, DHT22, SHT31."
"Что такое датчик давления?","Датчик давления — это устройство, преобразующее измеряемое давление (воздуха, жидкости) в электрический сигнал. Распространённые типы для электроники: барометры для атмосферного давления (BMP280), пьезорезистивные, емкостные датчики абсолютного/дифференциального давления."
"Что такое энкодер?","Энкодер — это датчик угла поворота (или линейного перемещения), преобразующий механическое движение в электрические сигналы для определения положения, скорости и направления вращения вала. Типы: инкрементальный (выдаёт импульсы), абсолютный (выдаёт уникальный код для каждого положения)."
"Что такое датчик приближения?","Датчик приближения — это бесконтактный датчик, обнаруживающий присутствие или отсутствие объекта в своей зоне чувствительности без физического контакта. Типы: индуктивный (для металлов), ёмкостной (для любых материалов), оптический (использует световой луч)."
"Что такое драйвер светодиода?","Драйвер светодиода (LED driver) — это электронная схема (часто импульсная), которая регулирует ток, протекающий через светодиод или цепочку светодиодов, обеспечивая стабильную работу и защиту от перегрузки независимо от колебаний питающего напряжения. Может быть линейным или импульсным."
"Что такое датчик углекислого газа?","Датчик углекислого газа (CO₂-сенсор) — это устройство для измерения концентрации диоксида углерода в воздухе. Наиболее точные используют метод недисперсионного инфракрасного анализа (NDIR). Выдают цифровой или аналоговый сигнал. Применяется в системах вентиляции, умных домах."
"Что такое микрофон?","Микрофон — это электроакустический преобразователь, преобразующий звуковые колебания в электрический сигнал. Типы: электретные (требуют напряжение поляризации), MEMS-микрофоны (интегральные компактные устройства с цифровым или аналоговым выходом), динамические, конденсаторные."
"Что такое импульсный источник питания (SMPS)?","Импульсный источник питания (SMPS) — это электронная схема, преобразующая электрическую энергию с помощью ключевых элементов (транзисторов), работающих в режиме переключения, что обеспечивает высокий КПД (80-95%) и компактные размеры. Примеры: понижающие (buck), повышающие (boost), инвертирующие преобразователи."
"Что такое датчик вибрации?","Датчик вибрации — это устройство для измерения вибрации, ускорения или наклона. Типы: пьезоэлектрические акселерометры (генерируют сигнал при деформации), MEMS-акселерометры (измеряют ускорение по осям). Пример: MPU-6050 (содержит акселерометр и гироскоп)."
"Что такое гальванический элемент?","Гальванический элемент (батарейка) — это одноразовый химический источник тока, в котором электрическая энергия вырабатывается в результате необратимых электрохимических реакций. Номинальное напряжение и ёмкость зависят от химического состава (щелочной, солевой, литиевый)."
"Что такое датчик освещённости?","Датчик освещённости (фотодатчик) — это устройство, выходной сигнал которого (сопротивление, напряжение, ток) пропорционален интенсивности падающего на его чувствительный элемент света. Используется в системах автоматического управления освещением, фотоаппаратах, смартфонах."
"Что такое симистор (TRIAC)?","Симистор (TRIAC) — это полупроводниковый ключевой прибор, способный проводить ток в обоих направлениях. Применяется для управления переменным током в цепях регулировки яркости ламп (диммерах), скорости двигателей переменного тока, нагревательных приборах."
"Что такое магнитометр?","Магнитометр — это датчик магнитного поля, измеряющий величину и/или направление магнитного поля Земли или другого источника. Часто строится на основе магниторезистивного эффекта. Ключевой компонент электронных компасов, навигационных систем. Пример: HMC5883L."
"Что такое датчик качества воздуха?","Датчик качества воздуха — это сенсор, обычно на основе изменения сопротивления чувствительного полупроводникового слоя при адсорбции целевых газов (углеводороды, CO, аммиак, формальдегид). Часто требует калибровки и имеет неспецифический отклик. Примеры: MQ-2, MQ-135, CCS811."
"Что такое таймер 555?","Таймер 555 — это универсальная интегральная микросхема, предназначенная для генерации одиночных или повторяющихся импульсов с точными временными характеристиками. Может работать в режимах моностабильного, бистабильного или астабильного мультивибратора. Пример: NE555, LM555."
"Что такое УМЗЧ?","Усилитель мощности звуковой частоты (УМЗЧ) — это электронное устройство, предназначенное для усиления слабых электрических сигналов звукового диапазона (20 Гц — 20 кГц) до уровня, достаточного для работы акустических систем (колонок). Бывает транзисторным, ламповым, интегральным."
"Что такое датчик Холла для измерения тока с магнитным сердечником?","Датчик Холла для измерения тока с магнитным сердечником — это высокоточный датчик тока, в котором проводник с током проходит через магнитный сердечник, а датчик Холла измеряет скомпенсированное поле. Обеспечивает гальваническую развязку, минимальную погрешность, измерение больших токов."
"Что такое фототранзистор?","Фототранзистор — это светочувствительный сенсор, сочетающий в себе свойства фотодиода и транзистора. Изменение освещённости базы вызывает изменение тока коллектор-эмиттер, что обеспечивает внутреннее усиление сигнала. Применяется в оптронах, датчиках препятствий."
"Что такое сглаживающий дроссель?","Сглаживающий дроссель — это катушка индуктивности, специально разработанная для подавления переменных составляющих (пульсаций) в цепях питания после выпрямителя. Имеет сердечник, рассчитанный на работу с постоянной составляющей тока без насыщения. Используется в фильтрах источников питания."
"Что такое сетевой фильтр?","Сетевой фильтр (EMI/RFI фильтр) — это пассивное устройство, состоящее из комбинации дросселей и конденсаторов, предназначенное для подавления высокочастотных помех как из сети (кондуктивных электромагнитных помех), так и от устройства в сеть. Защищает оборудование от помех и скачков напряжения."
"Что такое ультразвуковой датчик расстояния?","Ультразвуковой датчик расстояния — это устройство, измеряющее расстояние до объекта по времени прохождения звуковой волны от излучателя до объекта и обратно до приёмника. Работает в ультразвуковом диапазоне (обычно 40 кГц). Пример: HC-SR04, используется в робототехнике, парктрониках."
"Что такое датчик пламени?","Датчик пламени — это инфракрасный сенсор, настроенный на определённый спектр излучения открытого пламени (обычно в ИК-диапазоне). Используется в системах пожарной сигнализации, автоматического пожаротушения. Реагирует на ультрафиолетовое или инфракрасное излучение пламени."
"Что такое датчик наклона?","Датчик наклона — это простейший механический датчик, замыкающий или размыкающий контакты при изменении угла наклона относительно горизонта за счёт перемещения токопроводящей жидкости (ртути) или металлического шарика. Применяется в охранных системах, игрушках, измерительных устройствах."
"Что такое регулятор громкости?","Регулятор громкости — это переменный резистор (потенциометр), включённый как делитель напряжения, механическое вращение или перемещение ручки которого изменяет уровень аналогового сигнала (например, аудио). Цифровые регуляторы управляются по интерфейсу (I²C, SPI) и не имеют механических частей."
"Что такое термопара?","Термопара — это датчик температуры, состоящий из двух разнородных металлических проводников, соединённых на концах. Генерирует напряжение (термо-ЭДС), пропорциональное разности температур между «горячим» и «холодным» спаями. Используется для измерения высоких температур (до 2300°C) в промышленности."
"Что такое инкрементальный энкодер с индексным сигналом?","Инкрементальный энкодер с индексным сигналом — это вариант инкрементального энкодера, который помимо двух квадратурных каналов (A, B) имеет дополнительный импульсный выход (Z), выдающий один импульс за полный оборот вала для определения нулевой (начальной) позиции."
"Что такое компаратор?","Компаратор — это специализированная интегральная схема, предназначенная для сравнения двух аналоговых напряжений. Выход компаратора резко переключается в состояние логической «1» или «0», когда напряжение на одном входе превышает напряжение на другом. Пример: LM393, LM311."
"Что такое детектор перехода через ноль?","Детектор перехода через ноль — это схема (часто на основе компаратора), которая формирует синхронизирующий импульс в моменты, когда сетевое переменное напряжение пересекает нулевой уровень. Используется для синхронного включения симисторов и тиристоров в цепях переменного тока, уменьшения помех."
"Что такое преобразователь уровней?","Преобразователь уровней — это микросхема интерфейса, предназначенная для согласования логических уровней и обеспечения корректной связи между устройствами с разным напряжением питания (например, 3.3 В и 5 В). Примеры: для I²C (PCA9306), для UART/SPI (TXB0108), для однопроводных интерфейсов."
"Что такое тензометрический датчик?","Тензометрический датчик — это преобразователь, измеряющий деформацию (растяжение/сжатие) и преобразующий её в изменение электрического сопротивления. Используется в весах и системах измерения силы, требует усилителя (например, HX711) для обработки сигнала. Чувствительный элемент — тензорезистор."
"Что такое литий-полимерный аккумулятор?","Литий-полимерный аккумулятор (Li-Po) — это перезаряжаемый химический источник тока, в котором в качестве электролита используется полимерный материал. Отличается от Li-ion большей гибкостью форм-факторов, высокой удельной энергоёмкостью, но требует строгого соблюдения режимов зарядки/разрядки."
"Что такое IGBT?","IGBT (биполярный транзистор с изолированным затвором) — это силовой полупроводниковый прибор, сочетающий в себе входные характеристики полевого транзистора (управление напряжением) и выходные характеристики биполярного транзистора (низкое падение напряжения в открытом состоянии). Применяется в мощных инверторах, сварочных аппаратах, электроприводах."
"Что такое радиатор?","Радиатор (теплоотвод) — это пассивное устройство из теплопроводящего материала (чаще алюминия или меди), предназначенное для отвода и рассеивания тепла от нагревающихся электронных компонентов (микросхем, транзисторов) в окружающую среду за счёт теплопроводности и конвекции."
"Что такое кулер?","Кулер — это электромеханическое устройство, состоящее из электродвигателя и лопастей, создающее принудительный поток воздуха для охлаждения электронных компонентов и радиаторов. Применяется в компьютерах, источниках питания, электронике, требующей активного охлаждения."
"Что такое коннектор?","Коннектор (разъём) — это электромеханическое устройство, предназначенное для создания разъёмного электрического соединения между частями схемы, кабелями или модулями. Характеризуется типом, количеством контактов, номинальным током и напряжением. Примеры: USB, RJ45, HDMI, клеммные колодки."
"Что такое пьезоэлектрический преобразователь для ультразвука?","Пьезоэлектрический преобразователь для ультразвука — это устройство, преобразующее электрическую энергию в механические колебания ультразвуковой частоты (и наоборот) за счёт пьезоэффекта. Используется в сонарах, датчиках расстояния, медицинском оборудовании (УЗИ), очистителях."
"Что такое датчик потока жидкости/газа?","Датчик потока жидкости/газа (расходомер) — это устройство, измеряющее объём или массу вещества, проходящего через заданное сечение в единицу времени. В электронике распространены датчики с импульсным выходом (герконовый на турбинке) или аналоговым сигналом (термоанемометрический)."
"Что такое керамический резонатор?","Керамический резонатор — это электронный компонент, использующий пьезоэлектрический эффект в керамике для генерации колебаний заданной частоты. Является менее точной, но более дешёвой и устойчивой к ударам альтернативой кварцевому резонатору. Применяется в бытовой электронике, игрушках."
"Что такое трансивер?","Трансивер (приёмопередатчик) — это интегральная схема, объединяющая в одном корпусе передатчик и приёмник для работы по конкретному стандарту последовательной связи. Обеспечивает усиление сигнала, защиту от помех и часто гальваническую развязку. Примеры: для CAN (MCP2551), для RS-485 (MAX485)."
"Что такое OLED-дисплей?","OLED-дисплей — это технология изготовления дисплеев, в которой свет излучают тонкоплёночные структуры из органических соединений. Характеризуется высокой контрастностью, широкими углами обзора, быстрым откликом и возможностью создания гибких экранов. Не требует отдельной подсветки."
"Что такое ёмкостный сенсорный датчик?","Ёмкостный сенсорный датчик — это электронная схема, детектирующая изменение электрической ёмкости при приближении или прикосновении пальца человека. Реализуется на специализированных микросхемах или с использованием функций ввода микроконтроллера. Применяется в сенсорных кнопках, панелях."
"Что такое DDS-синтезатор?","DDS-синтезатор — это устройство (часто интегральная схема), которое генерирует аналоговые сигналы (синус, меандр, треугольник) с программно задаваемыми частотой, фазой и амплитудой на основе прямого цифрового синтеза (DDS). Пример: AD9833, применяется в измерительных приборах, генераторах сигналов."
"Что такое твердотельное реле?","Твердотельное реле (SSR) — это полупроводниковый ключевой прибор, выполняющий функции электромеханического реле, но не имеющий движущихся частей. Состоит из входной оптической развязки и выходного силового ключа (на симисторе или MOSFET). Отличается высоким быстродействием и долговечностью."
"Что такое датчик угла?","Датчик угла — это устройство для измерения угла поворота вала. Типы: поворотный потенциометр (выдаёт аналоговое напряжение, пропорциональное углу), абсолютный энкодер (выдаёт уникальный цифровой код даже после нескольких полных оборотов), датчик Холла на вращающемся магните."
"Что такое ИБП?","Источник бесперебойного питания (ИБП) — это устройство, обеспечивающее временное электропитание нагрузки при аварии или пропадании основного сетевого напряжения за счёт энергии встроенных аккумуляторов. Основные типы: резервный (off-line), линейно-интерактивный (line-interactive) и с двойным преобразованием (on-line)."
"Что такое цифровой потенциометр?","Цифровой потенциометр (digipot) — это интегральная схема, выполняющая функцию переменного резистора, сопротивление которого изменяется цифровыми командами (по SPI, I²C) вместо механического вращения. Используется для регулировки усиления, смещения в цепях подстройки, замены механических потенциометров."
"Что такое ГИС?","Гибридная интегральная схема (ГИС) — это электронный компонент, в котором на диэлектрической подложке (чаще керамической) размещаются бескорпусные активные элементы (транзисторные кристаллы) и пассивные компоненты (резисторы, конденсаторы), соединённые тонкоплёночными или толстоплёночными проводниками."
"Что такое шунтирующий стабилизатор?","Шунтирующий стабилизатор — это элемент, поддерживающий стабильное напряжение на нагрузке путём отклонения (шунтирования) избыточного тока от нагрузки через себя. Простейший пример — стабилитрон с балластным резистором. Пример ИС: TL431 (программируемый шунтирующий стабилизатор)."
"Что такое MLCC?","Многослойный керамический конденсатор (MLCC) — это миниатюрный неполярный конденсатор, состоящий из множества чередующихся слоёв керамического диэлектрика и металлических электродов. Обладает низкой паразитной индуктивностью (ESL) и используется для развязки по питанию в высокочастотных цифровых цепях."
"Что такое датчик тока на основе резистивного шунта с усилителем?","Датчик тока на основе резистивного шунта с усилителем — это измерительная схема, в которой падение напряжения на прецизионном низкоомном резисторе (шунте), включённом последовательно с нагрузкой, усиливается специализированной микросхемой (например, INA219) для точного измерения тока и напряжения."
"Что такое эмиттерный повторитель?","Эмиттерный повторитель — это схема включения биполярного транзистора с общим коллектором, обеспечивающая высокое входное и низкое выходное сопротивление. Используется для согласования импедансов без усиления по напряжению (коэффициент усиления близок к единице). Аналог на полевом транзисторе — истоковый повторитель."
"Что такое микросхема управления зарядом аккумулятора?","Микросхема управления зарядом аккумулятора — это специализированная ИС, которая автоматически выполняет правильный цикл заряда аккумулятора (предзаряд, основной заряд постоянным током/постоянным напряжением, дозаряд) и обеспечивает защиту от переразряда, перезаряда и перегрева. Пример: TP4056 для Li-ion."
"Что такое датчик детонации?","Датчик детонации — это пьезоэлектрический датчик, устанавливаемый на блоке двигателя внутреннего сгорания для обнаружения аномальной вибрации (детонации) путём преобразования механических колебаний в электрический сигнал. Позволяет блоку управления скорректировать угол опережения зажигания для оптимальной работы."
"Что такое антенна?","Антенна — это устройство для излучения или приёма радиоволн. Преобразует электрический сигнал передатчика в электромагнитное излучение (и наоборот). Характеризуется диаграммой направленности, коэффициентом усиления, полосой пропускания и рабочим диапазоном частот. Типы: штыревая, петлевая, патч-антенна."
"Что такое мост Уитстона?","Мост Уитстона — это измерительная схема из четырёх резисторов, используемая для точного определения неизвестного сопротивления путём балансировки моста (уравнивания потенциалов в средней диагонали). Также используется с тензодатчиками, терморезисторами и другими резистивными сенсорами."
"Что такое электронный термостат?","Электронный термостат — это устройство для поддержания заданной температуры путём включения или выключения нагревательного или охлаждающего элемента при достижении пороговых значений, измеренных термодатчиком. Обычно строится на основе компаратора, микроконтроллера или специализированной микросхемы."
"Что такое датчик расхода воздуха?","Датчик расхода воздуха (MAF-сенсор) — это устройство, измеряющее массовый расход воздуха, поступающего в двигатель. Распространённый тип — проволочный, где сила тока, необходимая для поддержания постоянной температуры платиновой нити, обдуваемой воздухом, пропорциональна его расходу."
"Что такое синфазный дроссель?","Синфазный дроссель — это трансформатор с двумя обмотками, намотанными на одном сердечнике встречно. Эффективно подавляет синфазные электромагнитные помехи (одинаковые в обоих проводах линии, например, USB, Ethernet), не ослабляя при этом полезный дифференциальный сигнал. Используется в фильтрах ЭМС."
"Что такое E-Ink дисплей?","E-Ink дисплей (электронная бумага) — это устройство отображения информации, имитирующее внешний вид обычной бумаги. Обладает крайне низким энергопотреблением (тратит энергию только на изменение изображения) и сохраняет изображение при отключении питания. Применяется в электронных книгах, ценниках."
"Что такое электронный балласт?","Электронный балласт — это устройство, обеспечивающее пуск и стабильную работу газоразрядных ламп (люминесцентных, ДНаТ) путём формирования высокого напряжения зажигания и ограничения рабочего тока. Заменяет традиционные дроссели и стартеры, повышает КПД, устраняет мерцание."
"Что такое плата расширения?","Плата расширения — это печатная плата с готовой периферией (датчиками, интерфейсами, исполнительными устройствами), устанавливаемая поверх основной платы микроконтроллера или одноплатного компьютера для быстрого прототипирования без сложной пайки. Примеры: Arduino Shield, Raspberry Pi HAT."
"Что такое датчик сердцебиения?","Датчик сердцебиения — это оптический сенсор на основе фотоплетизмографии (PPG), определяющий пульс по изменению оптической плотности ткани (обычно пальца или мочки уха) при каждом сердечном сокращении. Состоит из светодиода и фотодетектора. Пример: модуль с микросхемой MAX30102."
"Что такое логический анализатор?","Логический анализатор — это измерительный прибор, предназначенный для захвата, отображения и анализа цифровых сигналов (логических уровней) в нескольких каналах одновременно. Используется для отладки цифровых схем и последовательных интерфейсов (SPI, I2C, UART, CAN). Может быть аппаратным или на основе микроконтроллера."
"Что такое генератор пилообразного напряжения?","Генератор пилообразного напряжения — это схема (например, на основе интегратора с компаратором и ключом сброса), формирующая периодический сигнал, напряжение которого линейно нарастает, а затем резко падает. Используется в развёртке осциллографов, ШИМ-контроллерах, музыкальных синтезаторах."
"Что такое многооборотный подстроечный резистор?","Многооборотный подстроечный резистор (триммер) — это переменный резистор, сопротивление которого изменяется путём множества оборотов (например, 15, 20 или 25) винта, что обеспечивает высокую точность установки номинала при калибровке схемы. Применяется в прецизионной аппаратуре."
